File, Line, Var Count ,Seconds
benchmarkfiles/max_level_12,1,77, ERROR 
benchmarkfiles/max_level_12,1,77,1816
benchmarkfiles/max_level_12,2,65, ERROR 
benchmarkfiles/max_level_12,2,65,1334
benchmarkfiles/max_level_12,3,70,1236
benchmarkfiles/max_level_12,4,73,1601
benchmarkfiles/max_level_12,5,55, ERROR 
benchmarkfiles/max_level_12,5,55,1130
benchmarkfiles/max_level_12,6,57, ERROR 
benchmarkfiles/max_level_12,6,57,1115
benchmarkfiles/max_level_12,7,75,2203
benchmarkfiles/max_level_12,8,66,1898
benchmarkfiles/max_level_12,9,67,2015
benchmarkfiles/max_level_12,10,61,1272
benchmarkfiles/max_level_12,11,55,1053
benchmarkfiles/max_level_12,12,66,1335
